"Daily ICU occupancy"
9245
9797
10700
10963
10267
11291
11458
12487
13916
13627
14402
12403
14230
14578
14021
14653
14603
14400
14053
14245
14116
14059
13885
13769
13358
13163
13181
13058
12868
12677
12512
12246
11991
11967
11958
11571
11263
11031
10779
10738
10691
10603
10383
9905
9883
9697
9549
9509
9472
9362
9232
9228
9091
9010
8974
8971
8784
8590
8529
8312
8261
8264
8158
8074
8025
7970
7833
7840
7856
7862
7861
7830
7813
7796
8067
7915
8043
8070
8005
7957
7964
8119
8332
8569
8638
8624
8723
8731
8819
9057
9412
9303
9478
9538
9516
9725
10075
10215
10437
10650
10712
10711
10853
11110
11434
11661
11827
11854
11887
12131
12594
12909
13002
13228
13357
13479
14008
14409
14835
15115
15594
15867
16238
16808
17538
18088
18331
18742
18916
19091
19658
20176
20572
20831
21025
21327
21483
21919
22500
22868
22962
23043
23123
23172
23435
23892
24197
24612
24636
24747
24634
25074
25560
25812
25972
25894
25950
25801
26057
26431
26730
26928
26714
26559
26734
27063
27519
27782
27697
27748
27471
27614
28006
28266
28528
28608
28491
28365
28187
28370
28739
28891
28727
28527
28422
28120
27891
27831
27584
26998
26517
26006
25364
25121
25003
24897
24353
23786
23121
22708
22503
22230
21767
21403
20872
20354
19863
19377
19328
18929
18313
17714
17334
16865
16350
16227
15921
15579
15024
14492
14109
13724
13671
13354
12891
12464
12165
11716
11552
11362
11040
10744
10556
10323
10029
9848
9790
9612
9455
9242
9120
8907
8775
8787
8736
8682
8521
8422
8241
8127
8347
8379
8488
8338
8329
8201
8359
8439
8572
8502
8470
8466
8541
8606
8849
9012
9024
9194
9145
9130
9245
9452
9536
9581
9476
9530
9551
9632
9828
9918
9916
9842
9705
9572
9546
9759
9665
9535
9371
9242
9105
9075
9209
9180
8951
8833
8646
8468
8359
8341
8298
8114
7917
7628
7409
7270
7299
7163
7056
6841
6664
6472
6412
6419
6311
6138
6000
5778
5606
5525
5542
5489
5322
5175
4995
4768
4677
4685
4608
4478
4383
4300
4186
4049
4068
3939
3879
3806
3739
3673
3663
3708
3744
3700
3636
3617
3562
3525
3617
3676
3673
3614
4027
3753
3777
3883
3980
4132
4297
4369
4442
4637
4883
5072
5255
5474
5785
5994
6272
6717
7115
7408
7687
8097
8419
8867
9448
9994
10376
10919
11463
12109
12698
13481
14052
14632
15193
15732
16164
16784
17707
18264
19013
19537
20076
20401
21077
21673
22303
22693
23034
23399
23653
24082
24559
25053
25062
25249
25365
25435
25781
25919
25904
25963
26045
25961
25609
25630
25801
26099
25998
25925
25747
25326
25292
25514
25218
24877
24734
24435
23978
23779
23686
23536
23127
22585
22185
21727
21543
21256
20882
20400
19802
19272
18942
18770
18674
18261
17911
17482
17010
17374
17888
17902
17755
17534
17069
16724
16201
16038
16213
15980
15678
15312
15078
14681
14445
14612
14543
14398
14100
12455
12152
12092
12108
11947
11766
11555
11341
11231
11210
11332
11356
11289
11280
11271
11296
11264
11534
11600
11664
11792
11823
11785
11973
12296
12329
12448
12471
12654
12849
13105
13379
13545
13671
13772
13888
13942
14149
14455
14771
14901
14992
15236
15326
15595
15914
15993
15896
15909
15941
15906
15983
16210
16148
16251
16187
16240
16356
16590
17075
17274
17830
18158
18382
18863
19606
20341
21040
21529
22134
22862
23139
23789
24487
25081
25328
25558
25734
25802
25867
26077
26372
26458
26283
26023
25679
25528
25562
25311
25073
24470
24021
23432
23196
22909
22670
21913
21330
20576
19642
19280
18979
18351
17716
17044
16121
15437
14886
14391
13814
13145
12545
11927
11237
10777
10453
10174
9622
9113
8605
7998
7595
7358
7148
6797
6488
6039
5681
5492
5345
4988
4743
4440
4174
3882
3777
3681
3504
3453
3296
3129
3040
2937
2869
2738
2593
2499
2314
2214
2170
2134
2091
2026
1949
1862
1802
1794
1764
1713
1705
1723
1682
1590
1534
1568
1527
1522
1548
1529
1457
1432
1450
1485
1445
1486
1489
1453
1446
1507
1582
1584
1592
1623
1580
1576
1663
1692
1725
1736
1727
1774
1740
1785
1830
1884
1872
1943
1935
1951
2147
2295
2278
2316
2301
2277
2328
2364
2407
2425
2490
2559
2429
2416
2513
2548
2650
2687
2719
2667
2600
2736
2809
2844
2885
2783
2836
2856
2889
2999
2994
3043
2996
2925
2954
3092
3137
3124
3094
3151
3037
3080
3231
3323
3384
3389
3447
3449
3411
3557
3750
3877
3902
3935
3954
3908
4008
4147
4169
4255
4186
4173
4220
4351
4482
4489
4536
4456
4491
4512
4666
4781
4839
4761
4679
4518
4567
4697
4705
4698
4603
4611
4532
4511
4529
4598
4632
4485
4473
4379
4401
4471
4468
4407
4392
4278
4224
4268
4268
4201
4109
4144
4151
4066
4016
4040
3944
3945
3899
3841
3677
3672
3754
3813
3842
3829
3776
3497
3498
3574
3491
3434
3370
3305
3227
3197
3292
3294
3265
3193
3057
3005
2906
2915
2943
2999
2996
2911
2808
2810
2843
2851
2857
2766
2655
2626
2655
2655
2633
2681
2683
2656
2537
2590
2746
2738
2745
2698
2704
2638
2610
2673
2742
2716
2680
2626
2503
2517
2567
2647
2642
2704
2610
2571
2606
2694
2731
2702
2650
2658
2623
2701
2753
2788
2799
2862
2820
2748
2839
2934
2981
2930
2908
2974
3037
3144
3297
3444
3487
3565
3578
3485
3515
3626
3775
3790
3780
3815
3815
3865
3969
4093
4059
4302
4206
4113
4151
4242
4331
4313
4246
4321
4240
4294
4435
4575
4694
4794
4846
4823
4953
5112
5242
5257
5234
5246
5027
5015
5073
5090
4978
4877
4690
4617
4525
4523
4426
4321
4209
4098
3967
3903
3857
3892
3767
3605
3532
3298
3375
3421
3434
3416
3308
3147
3026
3037
3122
3080
3012
3086
3039
2935
2900
3063
3102
3054
3029
3004
2821
2858
2956
2956
2929
2914
2823
2680
2707
2736
2759
2746
2669
2582
2442
2446
2551
2526
2496
2443
2425
2332
2302
2336
2328
2300
2223
